time,sku,itemCondition,comment,link,platform,amount,shelfLocation,ownerName
01/26/2024 2:32 PM,30010,NEW,"12PCS, API.,19.7”X19.7”","STICKGOO 12 PCS 3D Main String Wall Panels, 19.7"" x 19.7"", Decorative PVC Wall Tiles, 3D Textured Wall Panels for Interior Wall Decor, 32 Sq.Ft, Black https://a.co/d/3T4miSv",Amazon,1,K14,Wentao Guo
01/26/2024 2:44 PM,30011,NEW,,"CJYMMFAN Folding Dog Car Ramp for Medium & Large Dogs, Portable Pet Stair Ramp with Non-Slip Rug Surface, 62"" Long & 17"" Extra Wide Dog Steps for Large Dogs Up to 200LBS Enter a Car, SUV & Truck https://a.co/d/66nSIru",Amazon,1,K12,Wentao Guo
01/26/2024 2:54 PM,30012,NEW,API.,Dr.WhitZard Blanket Lifter for Feet https://a.co/d/iYPJa63,Amazon,1,F33,Wentao Guo
01/26/2024 3:11 PM,30013,NEW,,Stealth Core Trainer - Dynamic Core & Full Body Workout While Playing Games; Free iOS/Android Mobile Games App; Patented 360 Degree Planking Motion; Build Muscle & Lose Body Fat in 3 Min/Day (Yellow) https://a.co/d/7ZLO4RT,Amazon,1,N15,Wentao Guo
01/26/2024 3:23 PM,30014,SEALED,,"40 inch Log Claw Tongs firewood Grabber Blue Handle,Wrought Iron Large Fire Pit Tool Outdoor/Indoor Bonfire Campfire Backyard Deck Camping Heavy Duty Metal Log Grabber Rustproof Safely Moves Firewood https://a.co/d/4g9cheW",Amazon,1,AS1,Wentao Guo
01/26/2024 3:44 PM,30015,NEW,API.,"DC House 1 Gallon Water Distiller Machine, 750W, 4L Distilled Water for Home Countertop Table Desktop, Stainless Steel https://a.co/d/g15cfnd",Amazon,1,F32,Wentao Guo
01/26/2024 3:57 PM,30016,NEW,21”X16”,"Support Plus Walker Tray Table with Non-Slip Mat/Cup Holders - Mobility Accessory Fits Most Standard Walkers (21"" x 16"") (Gray) https://a.co/d/7j4Jr2C",Amazon,1,E21,Wentao Guo
01/26/2024 4:09 PM,30017,NEW,API.,ComHoma Shoe Rack Organizer 5 Tiers Middle for 25 Pairs Space Saving Shoe Shelf Non-Woven Fabric Shoe Storage Cabinet Adjustable Shoe Storage Cabinet (Gray) https://a.co/d/2Ctp4O2,Amazon,1,E22,Wentao Guo
01/26/2024 4:17 PM,30018,NEW,API.,Scooter for Kids(Black) https://a.co/d/hw8Vhfa,Amazon,1,K12,Wentao Guo
01/26/2024 4:43 PM,30019,NEW,"API.,POWER TEST",Battery Operated Gooseneck Wall Light Bend Pipe Wall Sconce Adjustable Angle Lighting Fixture，with Remote Dimmable LED Bulb for Farmhouse Interior Wall Decor (Color : Gold) https://a.co/d/2dwSJCZ,Amazon,1,F32,Wentao Guo
01/26/2024 4:55 PM,30020,NEW,,"Step Ladder EFFIELER 2 Step Stool Ergonomic Folding Step Stool with Wide Anti-Slip Pedal 430 lbs Sturdy Step Stool for Adults Multi-Use for Household, Kitchen, Office (Matte White) https://a.co/d/5MRXF9d",Amazon,1,T21,Wentao Guo
01/26/2024 5:03 PM,30021,NEW,API.,WITFORMS / Premium Plus - Adjustable AC air Deflector Suitable for Split air conditioners. Enhance Cooling and Heating Circulation https://a.co/d/aLHsLle,Amazon,1,F32,Wentao Guo
01/26/2024 5:07 PM,30022,NEW,,"POOLPURE Replacement Filter for Hayward C1200, CX1200RE, Pleatco PA120, Unicel C-8412, Filbur FC-1293, Clearwater II 125, Waterway Pro Clean PCCF-125, 817-0125N, 120 sq.ft Filter Cartridge, Pack of 1 https://a.co/d/f5U0YhS",Amazon,1,F33,Wentao Guo
01/26/2024 5:14 PM,30023,NEW,API.,"FitBeast Pull Up Bar for Doorway, Strength Training Pullup Bar with No Screws, Chin Up Bar with Adjustable Width Locking Mechanism, Doorway Pull Up Bar Max Load 600lbs for Home Gym Upper Body Workout https://a.co/d/j7ex0Tn",Amazon,1,AS1,Wentao Guo
01/26/2024 5:22 PM,30024,NEW,API.,"JAYZUUM - Stone Bath Mat - Diatomaceous Earth Shower Mat, Non-Slip Super Absorbent Quick Drying Bathroom Floor Mat, Natural, Easy to Clean (23.5 x 15 Gray) https://a.co/d/eGxOPbM",Amazon,1,F34,Wentao Guo
01/26/2024 5:27 PM,30025,NEW,,"5301EL1001J Dryer Heating Element Assembly Replacement for LG Dryer - Perfect Replacement for 5301EL1001A, 5301EL1001AJ, 5301EL1001E, 5301EL1001H, 5301EL1001G, 5301EL1001U https://a.co/d/a8cY9Wq",Amazon,1,K22,Wentao Guo
01/26/2024 6:05 PM,30026,NEW,API.,LEHOM G6C Heavy Duty Wire Garment Rack with Gray Oxford Fabric Cover - Adjustable Compact Closet Storage Clothing Rack for Bedroom https://a.co/d/5lks9sb,Amazon,1,H25,Wentao Guo
01/26/2024 6:22 PM,30027,NEW,API.,OUTFINE Office Chair Executive Office Chair Desk Chair Computer Chair with Ergonomic Support Tilting Function Upholstered in Bonded Leather Black https://a.co/d/igPUrNq,Amazon,1,H45,Wentao Guo
01/26/2024 6:34 PM,30028,NEW,API.,Set of 20 Shopping Baskets with Handles Plastic Grocery Baskets 16.9 x 11.8 x 9 Inch Portable Shop Basket Bulk for Retail Stores Supermarket Grocery Shopping (Red) https://a.co/d/ey0sINm,Amazon,1,H45,Wentao Guo
01/26/2024 6:43 PM,30029,NEW,API.,"ZELUS 7x7ft Baseball Softball Practice Net | Portable Baseball Net with Tee, 2.8"" 16oz Weighted Baseball and Carry Bag for Batting Hitting and Pitching https://a.co/d/b2ei6rp",Amazon,1,E22,Wentao Guo
01/27/2024 11:00 AM,30030,NEW,"MISSING ANTI-SLIP MAT, SCRATCH","JAYZUUM - Stone Bath Mat - Diatomaceous Earth Shower Mat, Non-Slip Super Absorbent Quick Drying Bathroom Floor Mat, Natural, Easy to Clean (23.5 x 15 Gray) https://a.co/d/905Dxm4",Amazon,1,F34,Wentao Guo
01/27/2024 11:36 AM,30031,NEW,"UNTEST, MISSING PART","Jingle Joy 5 英尺(約 1.5 公尺)大型閃亮戶外聖誕鹿組,附 LED 燈 – 3 件式假日馴鹿家庭裝飾,適合庭院展示 - 耐候性裝飾,適合節日季節,附樁<br /><a href=""https://a.co/d/eKOmEBp"">https://a.co/d/eKOmEBp</a>",Amazon,1,H35,Wentao Guo
01/27/2024 11:54 AM,30032,NEW,79”X39”X3”,<p>NO</p>,Amazon,1,NS4,Wentao Guo
01/27/2024 12:29 PM,30033,NEW,API.,"Portable Crib for Baby, Portable Baby Playpen with Detachable Bassinet and Changing Table https://a.co/d/dEBYYhs",Amazon,1,C35,Wentao Guo
01/27/2024 12:38 PM,30034,NEW,44”X19”X1”,"Wildkin Kids Vinyl Nap Mat for Boys & Girls, Measures 44 X 19 X 1 Inches Rest Mat for Kids, Ideal for Daycare & Preschool, Perfect for Classroom, Home & Travel Nap Mats (Heroes) https://a.co/d/9y0qbcT",Amazon,1,K33,Wentao Guo
01/27/2024 12:49 PM,30035,NEW,"MISSING ACCESSOIRES,ALL MAIN PART IN","Knitting Machine, 48 Needles Knitting Loom Machine with Row Counter, Smart Weaving Loom Knitting Round Loom, DIY Knitting Board Rotating Double Knit Loom Machine Kit for Adults and Kids US https://a.co/d/9NbwVvm",Amazon,1,K33,Wentao Guo
01/27/2024 1:01 PM,30036,NEW,"API.,POWER TEST","Knitting Machine, 48 Needles Knitting Loom Machine with Row Counter, Smart Weaving Loom Knitting Round Loom, DIY Knitting Board Rotating Double Knit Loom Machine Kit for Adults and Kids US https://a.co/d/9NbwVvm",Amazon,1,F22,Wentao Guo
01/27/2024 1:14 PM,30037,NEW,,"Scooter for Kids Ages 6-12 - Kids Kick Scooters with Led Light Up Wheels & 3 Levels Adjustable Handlebar, Lightweight Foldable 2 Wheel Girly Pink Scooter, Christmas Birthday Gifts for Girls Boys. https://a.co/d/9nOxLDv",Amazon,1,F32,Wentao Guo
01/27/2024 1:29 PM,30038,NEW,,"W10276341, WPW10276341, W10167066, 2309523, 2309560 Glass Shelf Compatible with Kenmore, Whirlpool refrigerator parts shelf replacement Part Number : AP6018409, PS11751711 https://a.co/d/aSx6SPj",Amazon,1,F24,Wentao Guo
01/27/2024 1:24 PM,30039,NEW,"MAY NOT SAME BRAND, DIFFERENT COLOR","FSTAR Small Round Side End Table, Small Round Nightstand, Outdoor Tray Coffee Table, Portable Folding Metal Accent Table Next to Couches/Sofas, or Against a Wall (Black, 1PCS) https://a.co/d/6iS9JZp",Amazon,1,D14,Wentao Guo
01/27/2024 1:38 PM,30040,NEW,"API., POWER TEST",Adjustable Half Moon Desktop LED Light 25W 22in Beauty Skincare Lamp for Eyebrows Nail Art (US Plug) https://a.co/d/7MaNoqJ,Amazon,1,H33,Wentao Guo
01/27/2024 1:56 PM,30041,NEW,MISSING REMOTE CONTROL,"TISSCARE Shiatsu Foot Massager Machine w/Remote & Heat for Plantar Fasciitis & Neuropathy, Deep Kneading Calf Massage, Leg Massager, Promote Blood Circulation & Pain Relief & Better Sleep https://a.co/d/cpVx7yb",Amazon,1,F24,Wentao Guo
01/27/2024 2:24 PM,30042,NEW,"MISSING ACCESSOIRES, ALL MAIN PART IN, POWER TEST","Kakyoin 20V String Trimmer,Cordless,8 inch Circular Blade, Long Blade,2 Batteries and Charger Included (W2D0016) https://a.co/d/1JtpId3",Amazon,1,E23,Wentao Guo
01/27/2024 2:44 PM,30043,NEW,"API.,31.5”","Rustic Solid Wooden Framed 31.5 inch Round Wall Mirror, Farmhouse Decor Mirror, Large Wooden Circle Frame Mirror for Wall Decor, Living Room Bedroom Bathroom Entryway, Rustic Brown White<br /><a href=""https://amzn.eu/d/fe7BTnq"">https://amzn.eu/d/fe7BTnq</a>",Amazon,1,F35,Wentao Guo
01/27/2024 2:55 PM,30044,NEW,API.,Home Furniture Bedroom Living Room Side End Corner Table top 2 Tempered Glass Tiers Metal Iron bar Structure Nesting Pedestal Espresso Coffee Book Laptop Table Rectangle Design 4 Home Kitchen Balcony https://a.co/d/8SwlmBI,Amazon,1,B13,Wentao Guo
01/27/2024 3:14 PM,30045,NEW,"API.,2019-2023, BACKREST MATS, CARGO LINER, FLOOR MATS",Bomely Cargo Mat Compatible with 2019-2023 Toyota Rav4 Trunk Mat TPE Cargo Liner Frunk Mat All Weather Back Seat Cover Protector for Toyota Rav4 Accessories (Backrest Mats+Cargo Liner) https://a.co/d/isk8DX6,Amazon,1,F35,Wentao Guo
01/27/2024 3:31 PM,30046,NEW,API.,"Treocho Bathroom Wall Cabinet, Medicine Cabinet with Door and Open Shelf, Wall Mounted Storage Organizer for Bathroom, Black https://a.co/d/35tt5TA",Amazon,1,F35,Wentao Guo
01/27/2024 3:45 PM,30047,NEW,"API.,POWER TEST","<a href=""https://snapklik.com/en-ca/product/flybird-stair-stepper-for-exercises-pro-twist-stepper-machine-with-resistance-band-350lb-weight-capacity-home-cardio-exercise-for-hips-extension-legs-workout-suitable-men-women/0IE74P174Z315"">https://snapklik.com/en-ca/product/flybird-stair-stepper-for-exercises-pro-twist-stepper-machine-with-resistance-band-350lb-weight-capacity-home-cardio-exercise-for-hips-extension-legs-workout-suitable-men-women/0IE74P174Z315</a>",other,1,K24,Wentao Guo
01/27/2024 4:00 PM,30048,NEW,"POWER TEST, API.","Toaster Oven,Air Fryer Convection Oven, AUMATE Kitchen in the box Countertop Oven, Airfryer, Knob Control Pizza Oven with Timer/Auto-Off, 4 Accessories and Recipe Included,1550W, 19QT, Stainless Steel https://a.co/d/i6Va6vV",Amazon,1,H22,Wentao Guo
01/27/2024 4:14 PM,30049,NEW,API.,"KaKaBB Black Wine Rack<br /><a href=""https://amzn.eu/d/f1z27f7"">https://amzn.eu/d/f1z27f7</a>",Amazon,1,K33,Wentao Guo
01/26/2024 11:52 AM,30050,NEW,,"Hanobe Large Round Decorative Tray: Coffee Table Beaded Tray Rustic Wood Trays Decor Farmhouse Ottoman Circle Tray Vintage Centerpiece Wooden Serving Trays for Living Room Home for Counter, Brown https://a.co/d/aNJQRhR",Amazon,1,A22,Ivan Li
01/26/2024 12:04 PM,30051,NEW,"45""",<p>N</p>,other,1,C42,Ivan Li
01/26/2024 12:08 PM,30052,NEW,,"HOUNDGAMES Puppy Toy Mat with Teething Chew Toys (20” x 20”) Ropes, Squeaker, Plush Foam Bed, Durable - Comfort and Fun, All-in-One https://a.co/d/0SMYyGb",Amazon,1,D43,Ivan Li
01/26/2024 12:25 PM,30053,NEW,,"Plug in Pendant Light, 3 Color Bulb Pendant Light Fixtures, Hanging Light with 15 Ft Hemp Rope Cord On/Off Switch, Bamboo Lamp Shade Wicker Rattan Hanging Lights Fixture for Bedroom, Kitchen Island https://a.co/d/ckJ8nuo",Amazon,1,F12,Ivan Li
01/26/2024 12:29 PM,30054,NEW,Mayamila Memorial Ornament Memorial Gifts,Mayamila Memorial Ornament Memorial Gifts LED Moon Lamp Memorial Gift in Loving Powered by Batteries https://a.co/d/e0M8wUX,Amazon,1,Y13,Ivan Li
01/26/2024 12:32 PM,30055,NEW,"SIMILAR ITEM, 51""","Broom with Dustpan Combo Set 54"" Long Handle Adjustable Length Stainless Steel Broomstick Standing Dust Pan and Broom Set for Office Home Kitchen Lobby Floor Cleaning (Red and Black) https://a.co/d/4RnyETH",Amazon,1,K43,Ivan Li
01/26/2024 12:40 PM,30056,NEW,"3-6, Hoeflife Ceiling Curtain Track, Curtain Track Ceiling Mount, Room Divider Curtain Rod or Wall with Rolling Hooks, Ceiling Shower Curtain Tracks Perfect for Privacy in Open Rooms (3-6ft, White)","Hoeflife Ceiling Curtain Track, Curtain Track Ceiling Mount, Room Divider Curtain Rod or Wall with Rolling Hooks, Ceiling Shower Curtain Tracks Perfect for Privacy in Open Rooms (3-6ft, White) https://a.co/d/9rE2vAa",Amazon,1,AS2,Ivan Li
01/26/2024 12:44 PM,30057,NEW,,Owlike Universal Winter Baby Stroller Rain Cover Windproof Quilted Travel Weather Cover for Baby Stroller Pushchair https://a.co/d/6eDTXvE,Amazon,1,K21,Ivan Li
01/26/2024 12:50 PM,30058,NEW,,"Dumbbell Rack Stand Only, OKUGAFIT 5 Tier Compact A-Frame Dumbbell Rack with Upgraded Handle, Weight Rack for Dumbbells, Dumbbell Rack for Home Gym Space (Not included dumbbells) https://a.co/d/1XXKMXv",Amazon,1,B22,Ivan Li
01/26/2024 12:53 PM,30059,NEW,,"Ice Bucket 2 PCS,Acrylic Ice Buckets for Parties, Mimosa Bar Supplies Beverage Tub and Scoops for Champagne Beer Sparkling Wine Cocktails（5.5L）Extra Large Model (Clear) https://a.co/d/aGvEsUG",Amazon,1,N42,Ivan Li
01/26/2024 1:01 PM,30060,NEW,,"Knitting Machine, 48 Needles Knitting Loom Machine with Row Counter, Smart Weaving Loom Knitting Round Loom for Adults/Kids, Knitting Board Rotating Double Knit Loom Machine Kits https://a.co/d/bI2bqiJ",Amazon,1,N32,Ivan Li
01/26/2024 1:12 PM,30061,SEALED,,"Double Hat 7 in 1 Bamboo Drawer Organizer, Ziplock Bag Organizer, Baggie Organizer for Drawer, Foil and Plastic Wrap Organizer, Wrap Organizer With Cutter, Storage Bag Organizer Kitchen Drawer https://a.co/d/1NJOjCr",Amazon,1,N42,Ivan Li
01/26/2024 1:23 PM,30062,NEW,,"HoMedics Bubble Bliss Deluxe Foot Spa | Massaging Arch, 3 Acupressure Attachments, Splash Guard, Raised Nodes | Creates Bubbles, Improves Circulation, Soothe Tired Muscles, Built-In Storage https://a.co/d/5sOQ8fJ",Amazon,1,N42,Ivan Li
01/26/2024 1:29 PM,30063,NEW,,Medline Toilet Safety Rails https://a.co/d/0MMDFZR,Amazon,2,A12,Ivan Li
01/26/2024 1:33 PM,30064,NEW,,Soaoo 2 Pieces Christmas Stocking Holder Stands for Floor Freestanding Christmas Stocking Hangers Black Metal Heavy Duty Stocking Holder Stands for Christmas Holiday Decor(Festival) https://a.co/d/3v45NLM,Amazon,1,N42,Ivan Li
01/26/2024 1:37 PM,30065,NEW,,Electronic Organ Early Education Musical Instrument 61-Key Multi-Function with Microphone Educational Toy Gift Piano Belt Power Supply https://a.co/d/iWTVLwo,Amazon,1,B22,Ivan Li
01/26/2024 1:40 PM,30066,NEW,,"Baby Bath Tub Portable Baby Folding Bathtub Infant Collapsible Portable Shower Basin for Baby <a href=""https://a.co/d/hY41w55"">https://a.co/d/hY41w55</a>",Amazon,1,A12,Ivan Li
01/26/2024 1:46 PM,30067,NEW,"SILVER, 8.5""x11""","VAIIGO 8.5""x11"" Pedestal Poster Sign Holder Stand with Heavy Duty Solid Steel Base, Adjustable Sign Holder Standing Floor Sign Stand for Office,Store,School,Church,Public Sign Displayed Stands, Silver https://a.co/d/6McofZK",Amazon,1,K44,Ivan Li
01/26/2024 1:53 PM,30068,NEW,,<p>N</p>,other,1,N13,Ivan Li
01/26/2024 2:01 PM,30069,NEW,AROUND 2',<p>N</p>,other,1,E42,Ivan Li
01/26/2024 2:39 PM,30070,NEW,,"EINENG Tennis Sling Bag, Lightweight Tennis Crossbody Backpack with Exterior Zip Pocket, Checkered Pattern Tennis Racket for racquet with a head , Shoulder Bag for Men https://a.co/d/fTPPKlP",Amazon,1,A22,Ivan Li
01/26/2024 2:43 PM,30071,NEW,,"Electric Warming Tray（Large 22”x14”） with Adjustable Temperature Control, Food Warmer - Keep Food Hot for Parties Buffets, Restaurants, House Parties, Events & Dinners, Tempered Glass Surface，Black https://a.co/d/6uNGlWM",Amazon,1,D43,Ivan Li
01/26/2024 2:50 PM,30072,NEW,"25.6"", WHITE","ItsNio Stove Gap Covers, 25.6"" Long & 0.4"" Wide Stove Counter Side Gap Guards, Oven Gap Filler with Stainless Steel, Heat Resistant and Easy to Clean, Range Trim Kit, Left and Right 2 PCS(Silver) https://a.co/d/aIVZpoN",Amazon,1,D42,Ivan Li
01/26/2024 2:55 PM,30073,NEW,"BLACK, 30""","30"" Slide-in Range Rear Filler Kit W10113901A, Stove Gap Universal Triangular Filler Strip, Cooktop Trim Kit Between Stove and Backsplash for Whirlpool & Most Brand, Durable Aluminum, Black https://a.co/d/gSD4Ran",Amazon,1,D42,Ivan Li
01/26/2024 3:02 PM,30074,NEW,"24""","Homode Coat Rack with Shelf Wall Mount, 24 Inch Long Entryway Wall Shelf with Hooks, Wood Hanger with Storage Shelf for Bathroom, Hallway, Rustic Brown Black https://a.co/d/bn9JQME",Amazon,1,D42,Ivan Li
01/26/2024 3:09 PM,30075,NEW,,"AQQA Fish Tank Submersible Light LED Bubble Aquarium Light with Remote Underwater Light Fish Bubble Lamp Aquarium Air Bubbler Decorations (5W, 18.5 inch) https://a.co/d/5ncU4t9",Amazon,1,D42,Ivan Li
01/26/2024 3:13 PM,30076,NEW,,JSD 6HP26 Auto Transmission Oil Pan Kit W/Gasket Bolts Oil Pan for BMW E90 E91 E65 F01 E83 E53 E70 E85 E86 750i LR007474 https://a.co/d/98sKvI0,Amazon,1,N42,Ivan Li
01/26/2024 3:22 PM,30077,NEW,,"Doeean Family Wall Decor Letter Signs Acrylic Mirror Wall Stickers Wall Decorations for Living Room Bedroom Home Decor Wall Decals (Silver, 61 X 23) https://a.co/d/gihUI85",Amazon,1,D43,Ivan Li
01/26/2024 3:26 PM,30078,NEW,1 PIECE,"Female Head Planter,Large Head Face Planter,Flower Pot Head Design Succulents,Plant Pot with Drainage Hole Resin,Unique Succulent Flower Pots Cute Garden Vase Girl (Size : 1pcs) https://a.co/d/dKMtf4P",Amazon,1,E42,Ivan Li
01/26/2024 3:29 PM,30079,NEW,,LAFORMO Window Regulator Assembly Front Passenger Side w/o Motor Compatible with Fiat 500 2012-2017 https://a.co/d/cLLwsMF,Amazon,1,D43,Ivan Li
01/26/2024 3:35 PM,30080,NEW,DC97-16350S Washer Suspension Rods(26.4 in) for Samsung WA45M3100AW WA45T3200AW WA50R5200AW WA50R5200AW-Replaces Samsung Spring Rods DC97-16350T/K/E DC97-16350R | 4PCS | 5 YEAR WARRANTY,"𝙐𝙥𝙜𝙧𝙖𝙙𝙚𝙙 DC97-16350S DC97-16350T DC97-16350U Suspension Rod(26.4in) Replaces DC97-16350E, DC97-16350K, DC97-16350R Fit for Samsung Washer Suspension Rod, WA50R5200AW, WA45N3050AW, WA50R5400AW https://a.co/d/7xd0kMG",Amazon,1,D42,Ivan Li
01/26/2024 3:52 PM,30081,NEW,"17""x16""",LuQiBabe Baby High Chair Tray Compatible with Stokke Tripp Trapp Chair with Smooth Surface and Strong Suction Power - Made with Food-Safe Plastic (BPA BPS BPF Lead and Phthalate Free) - White https://a.co/d/4LOdkjg,Amazon,1,A12,Ivan Li
01/26/2024 3:58 PM,30082,NEW,,"Olympia Tools 85-010 Grand Pack-N-Roll Portable Tools Carrier with Telescopic Handle, 80 Lb. Load Capacity, Black https://a.co/d/7Xu4F9I",Amazon,1,K43,Ivan Li
01/26/2024 4:04 PM,30083,SEALED,4 PACKS OF 15,"Depend Night Defense Adult Incontinence Underwear for Women, Disposable, Overnight, Medium, Blush, 60 Count (4 Packs of 15), Packaging May Vary https://a.co/d/hQch69I",Amazon,2,M42,Ivan Li
01/26/2024 4:17 PM,30084,NEW,,"Motor Trend FlexTough Performance All Weather Rubber Car Floor Mats - 3 Piece Floor Mats Automotive Liners for Cars Truck SUV, Heavy-Duty Waterproof (Black) https://a.co/d/9vDqjKH",Amazon,1,D35,Ivan Li
01/26/2024 4:23 PM,30085,NEW,,Yaetek Electric Chainsaw Sharpener Chain Saw Grinder 4800RPM Bench Wall or Vise Mount Tool https://a.co/d/54bTn3y,Amazon,1,H42,Ivan Li
01/26/2024 4:27 PM,30086,NEW,,"mDesign Home Office, Desk Organizer Storage Station for Storing Gel Pens, Erasers, Tape, Push Pins, Pencils, Markers - Space Saving - Use Vertically or Horizontally - 3 Drawers, 2 Pack - Clear https://a.co/d/jhMWL6W",Amazon,1,H32,Ivan Li
01/26/2024 4:33 PM,30087,NEW,"AROUND 42""",<p>N</p>,other,1,D21,Ivan Li
01/26/2024 4:39 PM,30088,NEW,,"Lovvie & Joy Baby Play Activity Gym Tummy Time Mat for Infant,Baby Gyms & Playmats for Babies 0 to 3 6 9 12 Months with 5 Toys for Early Sensory Exploration and Motor Skill Development https://a.co/d/iTsq5gz",Amazon,1,N32,Ivan Li
01/26/2024 4:45 PM,30089,NEW,LAKOWN Fast Sling Puck Game Desktop Battle Wooden Hockey Games Toys for Kids & Adult Parent-Child Interaction Chess Toy Board Table Game,LAKOWN Fast Sling Puck Game Desktop Battle Wooden Hockey Games Toys for Kids & Adult Parent-Child Interaction Chess Toy Board Table Game https://a.co/d/fCX7VnX,Amazon,1,D32,Ivan Li
01/26/2024 12:33 PM,30090,NEW,"API., SATIN NICKEL ","<a href=""https://www.homedepot.com/p/Kwikset-Balboa-Satin-Nickel-Keyed-Entry-Door-Handle-featuring-SmartKey-Security-and-Microban-Technology-T405BL15SMTCPK6/317193663"">https://www.homedepot.com/p/Kwikset-Balboa-Satin-Nickel-Keyed-Entry-Door-Handle-featuring-SmartKey-Security-and-Microban-Technology-T405BL15SMTCPK6/317193663</a>",other,1,Y38,Luka Ng
01/26/2024 12:42 PM,30091,NEW,"API., VENETIAN BRONZE ","<a href=""https://www.homedepot.com/p/Kwikset-Balboa-Venetian-Bronze-Keyed-Entry-Door-Handle-featuring-SmartKey-Security-and-Microban-Technology-T405BL11PSMTCPK/317193658"">https://www.homedepot.com/p/Kwikset-Balboa-Venetian-Bronze-Keyed-Entry-Door-Handle-featuring-SmartKey-Security-and-Microban-Technology-T405BL11PSMTCPK/317193658</a>",other,1,Y38,Luka Ng
01/26/2024 12:55 PM,30092,NEW,"API., VENETIAN BRONZE ","<a href=""https://www.homedepot.com/p/Kwikset-Balboa-Venetian-Bronze-Keyed-Entry-Door-Handle-and-Single-Cylinder-Deadbolt-Combo-Pack-featuring-SmartKey-and-Microban-T690BL11PSMTCPK/317194019"">https://www.homedepot.com/p/Kwikset-Balboa-Venetian-Bronze-Keyed-Entry-Door-Handle-and-Single-Cylinder-Deadbolt-Combo-Pack-featuring-SmartKey-and-Microban-T690BL11PSMTCPK/317194019</a>",other,1,Y38,Luka Ng
01/26/2024 1:13 PM,30093,USED,"MISSING ACCESSOIRES, SATIN NICKEL, SAME ","<a href=""https://www.homedepot.com/p/Schlage-Accent-Satin-Nickel-Privacy-Bed-Bath-Door-Handle-F40-V-ACC-619/100117618"">https://www.homedepot.com/p/Schlage-Accent-Satin-Nickel-Privacy-Bed-Bath-Door-Handle-F40-V-ACC-619/100117618</a>",other,1,Y38,Luka Ng
